pokemon_name,normalized_name,source_path,output_path
palpitoad,palpitoad,data/raw_images/_extracted/images/Palpitoad/1.jpg,data/images/palpitoad.jpg
ludicolo,ludicolo,data/raw_images/_extracted/images/Ludicolo/1.jpg,data/images/ludicolo.jpg
sandshrew,sandshrew,data/raw_images/_extracted/images/Sandshrew/4.jpg,data/images/sandshrew.jpg
spearow,spearow,data/raw_images/_extracted/images/Spearow/2.jpg,data/images/spearow.jpg
mimejr,mimejr,data/raw_images/_extracted/images/Mime Jr/1.jpg,data/images/mimejr.jpg
marowak,marowak,data/raw_images/_extracted/images/Marowak/4.jpg,data/images/marowak.jpg
burmy,burmy,data/raw_images/_extracted/images/Burmy/4.jpg,data/images/burmy.jpg
mantine,mantine,data/raw_images/_extracted/images/Mantine/2.jpg,data/images/mantine.jpg
pangoro,pangoro,data/raw_images/_extracted/images/Pangoro/1.jpg,data/images/pangoro.jpg
furret,furret,data/raw_images/_extracted/images/Furret/2.jpg,data/images/furret.jpg
florges,florges,data/raw_images/_extracted/images/Florges/4.jpg,data/images/florges.jpg
clefairy,clefairy,data/raw_images/_extracted/images/Clefairy/2.jpg,data/images/clefairy.jpg
carracosta,carracosta,data/raw_images/_extracted/images/Carracosta/1.jpg,data/images/carracosta.jpg
mrmime,mrmime,data/raw_images/_extracted/images/Mr. Mime/4.jpg,data/images/mrmime.jpg
snorlax,snorlax,data/raw_images/_extracted/images/Snorlax/4.jpg,data/images/snorlax.jpg
minccino,minccino,data/raw_images/_extracted/images/Minccino/1.jpg,data/images/minccino.jpg
serperior,serperior,data/raw_images/_extracted/images/Serperior/1.jpg,data/images/serperior.jpg
purugly,purugly,data/raw_images/_extracted/images/Purugly/1.jpg,data/images/purugly.jpg
hawlucha,hawlucha,data/raw_images/_extracted/images/Hawlucha/1.jpg,data/images/hawlucha.jpg
spoink,spoink,data/raw_images/_extracted/images/Spoink/1.jpg,data/images/spoink.jpg
glalie,glalie,data/raw_images/_extracted/images/Glalie/2.jpg,data/images/glalie.jpg
scyther,scyther,data/raw_images/_extracted/images/Scyther/2.jpg,data/images/scyther.jpg
primeape,primeape,data/raw_images/_extracted/images/Primeape/2.jpg,data/images/primeape.jpg
diglett,diglett,data/raw_images/_extracted/images/Diglett/4.jpg,data/images/diglett.jpg
basculin,basculin,data/raw_images/_extracted/images/Basculin/2.jpg,data/images/basculin.jpg
pupitar,pupitar,data/raw_images/_extracted/images/Pupitar/2.jpg,data/images/pupitar.jpg
rampardos,rampardos,data/raw_images/_extracted/images/Rampardos/1.jpg,data/images/rampardos.jpg
hariyama,hariyama,data/raw_images/_extracted/images/Hariyama/1.jpg,data/images/hariyama.jpg
